o_d,cluster
IRLBRA,1
IRLCAN,1
IRLCHE,1
IRLCHL,1
SGPPER,3
IRLCOL,1
IRLCZE,1
IRLDEU,1
IRLDNK,1
IRLDOM,1
SGPPOL,3
IRLECU,1
SGPPRT,3
IRLESP,1
IRLFIN,1
IRLFRA,1
IRLGBR,1
IRLGRC,1
IRLGTM,1
IRLIDN,1
SGPSVK,3
IRLIRL,1
SGPSWE,3
SGPUKR,3
IRLISR,1
IRLITA,1
IRLJPN,1
IRLKOR,1
SGPUSA,3
SGPZAF,3
IRLMEX,1
THAARG,3
IRLNGA,1
IRLNLD,1
IRLNOR,1
IRLNZL,1
THAAUS,3
IRLPER,1
THAAUT,3
IRLPOL,1
IRLPRT,1
THABEL,3
THABRA,3
THACAN,3
THACHE,3
IRLSVK,1
IRLSWE,1
THACHL,3
THACOL,3
IRLUKR,1
IRLUSA,1
THACZE,3
THADEU,3
IRLZAF,1
THADNK,3
THADOM,3
THAECU,3
THAESP,3
IRNBGD,4
THAFIN,3
THAFRA,3
THAGBR,3
THAGRC,3
IRNCHN,4
THAGTM,3
THAIDN,3
THAIRL,3
THAISR,3
THAITA,3
IRNDZA,4
THAJPN,3
IRNEGY,4
THAKOR,3
THAMEX,3
THANGA,3
THANLD,3
THANOR,3
THANZL,3
THAPER,3
IRNIND,4
