Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE,SSP2-45,R5.2MAF,Primary Energy|Gas,EJ/yr,14.162,15.103,16.045,20.041,24.037,26.792,29.548,33.481,37.414,43.205,48.996,52.549,56.102,53.882,51.662,49.077,46.492,47.649,48.805
IMAGE,SSP3-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,14.192,15.970,17.749,22.007,26.266,29.201,32.136,36.683,41.229,47.885,54.541,59.934,65.327,67.842,70.357,72.019,73.681,74.408,75.136
IMAGE,SSP4-34,R5.2MAF,Primary Energy|Gas,EJ/yr,14.182,15.800,17.418,18.312,19.205,21.652,24.099,25.120,26.142,25.878,25.614,25.501,25.388,25.704,26.020,27.209,28.397,28.448,28.500
IMAGE,SSP4-60,R5.2MAF,Primary Energy|Gas,EJ/yr,14.226,15.947,17.668,19.823,21.977,27.554,33.130,38.062,42.994,47.575,52.155,54.495,56.834,56.272,55.710,55.568,55.427,55.662,55.897
IMAGE,SSP5-34,R5.2MAF,Primary Energy|Gas,EJ/yr,14.252,15.638,17.024,20.541,24.059,30.537,37.014,39.746,42.477,42.463,42.450,44.909,47.368,48.803,50.238,48.882,47.526,42.952,38.378
IMAGE,SSP5-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,14.294,15.860,17.425,22.806,28.186,38.417,48.647,60.304,71.961,80.769,89.576,89.016,88.455,86.109,83.763,78.725,73.686,66.229,58.773
MESSAGE-GLOBIOM,SSP1-19,R5.2MAF,Primary Energy|Gas,EJ/yr,16.187,17.861,19.534,23.634,27.734,34.834,41.934,50.039,58.143,58.624,59.104,52.517,45.929,36.194,26.459,16.272,6.086,3.104,0.123
MESSAGE-GLOBIOM,SSP1-26,R5.2MAF,Primary Energy|Gas,EJ/yr,16.187,18.036,19.886,24.654,29.423,37.417,45.411,53.843,62.276,68.214,74.153,73.788,73.424,66.677,59.930,45.947,31.963,22.691,13.418
MESSAGE-GLOBIOM,SSP2-45,R5.2MAF,Primary Energy|Gas,EJ/yr,16.201,20.264,24.327,30.350,36.373,42.890,49.406,55.029,60.651,65.642,70.633,76.060,81.487,87.110,92.733,92.949,93.166,90.424,87.683
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,16.192,21.979,27.766,35.467,43.168,50.435,57.703,62.478,67.254,69.469,71.683,70.855,70.026,71.710,73.395,65.300,57.205,43.201,29.198
REMIND-MAGPIE,SSP1-19,R5.2MAF,Primary Energy|Gas,EJ/yr,18.203,18.636,19.070,15.050,11.029,8.720,6.410,5.662,4.914,4.385,3.855,2.988,2.122,1.539,0.956,0.786,0.617,0.348,0.078
REMIND-MAGPIE,SSP1-26,R5.2MAF,Primary Energy|Gas,EJ/yr,18.203,18.636,19.070,19.671,20.272,22.432,24.591,26.131,27.670,27.240,26.810,25.335,23.860,21.365,18.870,14.405,9.940,6.467,2.993
REMIND-MAGPIE,SSP2-45,R5.2MAF,Primary Energy|Gas,EJ/yr,19.340,21.493,23.645,27.349,31.052,37.871,44.690,50.400,56.110,58.305,60.500,58.735,56.970,56.235,55.500,53.720,51.940,52.440,52.940
REMIND-MAGPIE,SSP5-34,R5.2MAF,Primary Energy|Gas,EJ/yr,20.451,23.754,27.057,31.152,35.246,40.588,45.930,51.275,56.620,61.710,66.800,65.530,64.260,56.495,48.730,38.640,28.550,23.455,18.360
REMIND-MAGPIE,SSP5-Baseline,R5.2MAF,Primary Energy|Gas,EJ/yr,20.451,25.041,29.631,37.001,44.371,56.426,68.480,75.540,82.600,88.535,94.470,99.790,105.110,106.245,107.380,105.565,103.750,102.155,100.560
