Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE,SSP4-34,R5.2LAM,Primary Energy|Oil,EJ/yr,14.382,15.200,16.019,15.860,15.701,14.752,13.802,14.004,14.206,14.268,14.329,12.767,11.204,9.451,7.699,6.744,5.789,5.647,5.505
IMAGE,SSP4-60,R5.2LAM,Primary Energy|Oil,EJ/yr,14.379,15.393,16.407,16.883,17.359,17.025,16.691,17.722,18.753,19.912,21.072,20.324,19.577,18.936,18.294,17.951,17.608,17.499,17.389
IMAGE,SSP5-34,R5.2LAM,Primary Energy|Oil,EJ/yr,14.669,15.775,16.880,17.212,17.543,17.776,18.009,17.968,17.927,15.864,13.801,11.555,9.309,8.199,7.089,5.918,4.747,4.396,4.045
IMAGE,SSP5-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,14.667,16.099,17.531,18.481,19.430,20.394,21.359,23.946,26.533,27.632,28.732,27.767,26.803,24.512,22.220,20.031,17.842,16.137,14.433
MESSAGE-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,15.314,16.219,17.125,15.766,14.407,12.308,10.209,6.769,3.330,1.764,0.197,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000
MESSAGE-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,15.311,15.727,16.143,16.227,16.312,16.273,16.234,13.319,10.405,6.544,2.684,1.617,0.549,0.281,0.014,0.012,0.010,0.005,0.000
MESSAGE-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,15.397,16.189,16.981,18.056,19.131,20.883,22.635,22.410,22.184,19.070,15.956,14.384,12.812,9.529,6.246,4.266,2.286,1.558,0.831
MESSAGE-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,15.226,18.106,20.986,22.638,24.289,25.712,27.135,27.758,28.380,28.172,27.964,23.054,18.145,11.845,5.544,3.267,0.989,0.859,0.730
REMIND-MAGPIE,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,13.860,12.600,11.340,11.050,10.760,11.115,11.470,9.609,7.747,5.639,3.531,2.454,1.376,0.801,0.225,0.179,0.132,0.126,0.120
REMIND-MAGPIE,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,13.860,12.600,11.340,11.570,11.800,13.165,14.530,13.190,11.850,8.877,5.904,3.660,1.416,0.952,0.487,0.416,0.345,0.308,0.272
REMIND-MAGPIE,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,13.930,13.020,12.110,13.175,14.240,14.915,15.590,13.985,12.380,10.885,9.390,7.161,4.932,3.112,1.292,1.162,1.032,1.012,0.992
REMIND-MAGPIE,SSP5-34,R5.2LAM,Primary Energy|Oil,EJ/yr,13.940,14.550,15.160,18.790,22.420,23.750,25.080,23.215,21.350,18.600,15.850,11.599,7.347,4.481,1.615,1.167,0.719,0.673,0.627
REMIND-MAGPIE,SSP5-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,13.940,14.530,15.120,18.885,22.650,25.190,27.730,28.940,30.150,30.850,31.550,31.240,30.930,30.075,29.220,26.540,23.860,20.170,16.480
WITCH-GLOBIOM,SSP1-19,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,18.251,18.037,13.461,8.886,8.930,8.975,7.293,5.610,4.040,2.470,2.078,1.687,1.332,0.978,0.492,0.006,0.003,0.000
WITCH-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,18.733,19.000,16.329,13.657,13.555,13.453,13.486,13.518,13.520,13.522,13.501,13.480,13.062,12.644,10.031,7.418,3.710,0.001
WITCH-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,20.260,22.055,23.515,24.975,26.560,28.145,28.857,29.568,29.882,30.196,30.310,30.424,30.100,29.775,27.987,26.200,16.738,7.276
WITCH-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,20.708,22.951,24.771,26.591,27.677,28.762,29.290,29.818,30.122,30.425,30.784,31.144,31.055,30.966,30.925,30.884,30.375,29.866
WITCH-GLOBIOM,SSP4-34,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,20.080,21.696,22.362,23.028,23.115,23.201,23.240,23.280,23.270,23.260,23.239,23.217,22.552,21.887,17.644,13.401,6.723,0.045
WITCH-GLOBIOM,SSP4-60,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,19.566,20.667,21.761,22.855,23.474,24.094,24.580,25.067,25.528,25.988,26.421,26.854,26.763,26.673,24.368,22.063,11.099,0.136
WITCH-GLOBIOM,SSP5-34,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,18.571,18.678,16.629,14.581,16.154,17.727,19.138,20.550,22.018,23.486,24.975,26.464,27.644,28.824,27.717,26.611,14.680,2.750
WITCH-GLOBIOM,SSP5-Baseline,R5.2LAM,Primary Energy|Oil,EJ/yr,18.465,19.374,20.284,21.671,23.058,25.888,28.718,31.187,33.655,35.335,37.014,38.232,39.449,40.076,40.703,41.087,41.470,39.985,38.499
AIM/CGE,SSP1-19,R5.2MAF,Primary Energy|Oil,EJ/yr,18.358,20.483,22.607,22.402,22.196,20.626,19.057,17.687,16.317,13.556,10.795,9.492,8.190,7.279,6.368,6.105,5.842,5.330,4.818
AIM/CGE,SSP1-26,R5.2MAF,Primary Energy|Oil,EJ/yr,18.356,20.483,22.609,24.456,26.302,26.094,25.885,25.880,25.875,25.181,24.488,22.674,20.859,19.974,19.088,17.887,16.686,16.079,15.472
