Model,Scenario,Region,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
WITCH-GLOBIOM,SSP1-26,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,0.943,0.775,0.759,0.743,0.739,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735,0.735
WITCH-GLOBIOM,SSP2-45,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,0.944,0.778,0.774,0.771,0.769,0.768,0.765,0.762,0.759,0.755,0.752,0.749,0.749,0.748,0.748,0.748,0.748,0.748
WITCH-GLOBIOM,SSP3-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,1.183,1.256,1.606,1.955,2.328,2.701,2.94,3.178,3.397,3.616,3.853,4.091,4.403,4.716,4.968,5.22,4.88,4.539
WITCH-GLOBIOM,SSP4-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,0.944,0.778,0.774,0.77,0.766,0.763,0.759,0.756,0.752,0.749,0.746,0.744,0.744,0.744,0.744,0.744,0.744,0.744
WITCH-GLOBIOM,SSP4-60,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,0.945,0.78,0.808,0.836,0.948,1.06,0.998,0.937,0.902,0.868,0.848,0.828,0.817,0.806,0.8,0.793,0.79,0.786
WITCH-GLOBIOM,SSP5-34,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,1.084,1.058,0.98,0.902,0.946,0.99,1.042,1.094,1.151,1.208,1.272,1.335,1.405,1.475,1.552,1.629,1.714,1.799
WITCH-GLOBIOM,SSP5-Baseline,R5.2LAM,Primary Energy|Coal,EJ/yr,1.11,1.061,1.011,1.277,1.543,1.923,2.303,2.854,3.404,3.933,4.461,4.999,5.538,6.026,6.514,6.364,6.215,5.749,5.284
AIM/CGE,SSP1-19,R5.2MAF,Primary Energy|Coal,EJ/yr,4.638,4.862,5.086,3.603,2.12,1.904,1.687,1.933,2.178,1.691,1.203,1.029,0.854,0.735,0.616,0.6,0.584,0.529,0.474
AIM/CGE,SSP1-26,R5.2MAF,Primary Energy|Coal,EJ/yr,4.639,4.863,5.086,4.385,3.684,3.194,2.704,2.969,3.235,3.427,3.619,3.502,3.385,3.356,3.326,3.158,2.99,2.94,2.89
AIM/CGE,SSP2-45,R5.2MAF,Primary Energy|Coal,EJ/yr,4.852,5.325,5.799,5.775,5.751,5.934,6.117,6.215,6.313,5.964,5.615,6.009,6.403,8.033,9.662,11.758,13.853,16.159,18.465
AIM/CGE,SSP3-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,5.056,6.049,7.041,8.638,10.235,12.446,14.657,17.729,20.801,24.911,29.021,35.229,41.436,51.173,60.91,73.487,86.063,101.906,117.748
AIM/CGE,SSP4-34,R5.2MAF,Primary Energy|Coal,EJ/yr,4.973,5.664,6.356,6.373,6.391,6.287,6.183,6.377,6.571,6.854,7.136,7.999,8.862,10.097,11.333,12.344,13.355,14.479,15.603
AIM/CGE,SSP5-34,R5.2MAF,Primary Energy|Coal,EJ/yr,4.842,5.346,5.85,4.98,4.11,4.35,4.59,6.03,7.471,9.098,10.726,11.852,12.978,14.361,15.743,17.38,19.017,21.093,23.169
AIM/CGE,SSP5-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,4.9,5.535,6.169,6.911,7.654,9.003,10.352,12.477,14.601,17.876,21.151,26.648,32.146,41.176,50.207,64.652,79.098,98.293,117.488
GCAM4,SSP1-19,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.108,5.615,5.225,4.834,4.096,3.358,2.437,1.515,1.122,0.73,0.527,0.324,0.242,0.16,0.123,0.086,0.066,0.046
GCAM4,SSP1-26,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.102,5.603,6.08,6.558,6.463,6.369,5.762,5.154,3.984,2.813,1.914,1.015,0.708,0.4,0.296,0.192,0.144,0.095
GCAM4,SSP2-45,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.333,6.066,8.644,11.222,12.505,13.787,13.236,12.685,11.534,10.383,8.301,6.219,5.085,3.95,3.366,2.782,2.391,1.999
GCAM4,SSP3-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,6.041,7.481,11.548,15.615,19.851,24.087,29.018,33.95,41.626,49.302,57.741,66.179,76.091,86.003,97.713,109.423,123.244,137.064
GCAM4,SSP4-34,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.24,5.88,6.377,6.875,6.739,6.604,6.142,5.679,5.619,5.559,5.481,5.403,4.977,4.551,3.574,2.597,2.07,1.542
GCAM4,SSP4-60,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.24,5.88,8.355,10.83,12.256,13.682,14.782,15.883,17.206,18.529,18.991,19.453,18.963,18.473,17.202,15.93,14.027,12.124
GCAM4,SSP5-34,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,5.415,6.228,9.779,13.33,14.579,15.828,13.96,12.092,11.135,10.179,9.78,9.381,9.17,8.959,8.635,8.31,7.617,6.924
GCAM4,SSP5-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,4.601,6.069,7.538,12.111,16.684,22.916,29.147,36.231,43.316,51.044,58.771,64.297,69.822,73.455,77.088,80.62,84.152,85.571,86.989
IMAGE,SSP1-19,R5.2MAF,Primary Energy|Coal,EJ/yr,5.034,5.069,5.104,3.552,1.999,1.986,1.973,2.077,2.18,2.105,2.031,1.775,1.519,1.457,1.396,1.549,1.702,1.833,1.963
IMAGE,SSP1-26,R5.2MAF,Primary Energy|Coal,EJ/yr,5.034,5.699,6.365,6.168,5.97,5.346,4.722,4.632,4.543,5.088,5.634,5.518,5.402,5.112,4.822,4.51,4.197,3.812,3.428
IMAGE,SSP2-45,R5.2MAF,Primary Energy|Coal,EJ/yr,5.074,5.988,6.902,7.385,7.867,7.846,7.824,7.679,7.534,7.853,8.172,8.814,9.457,11.229,13.001,16.312,19.622,26.375,33.128
IMAGE,SSP3-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,5.102,6.362,7.622,9.196,10.769,12.729,14.688,17.454,20.22,24.28,28.34,34.244,40.147,49.793,59.44,71.872,84.305,100.335,116.365
IMAGE,SSP4-34,R5.2MAF,Primary Energy|Coal,EJ/yr,5.029,5.859,6.689,6.729,6.769,6.053,5.337,4.591,3.844,3.625,3.405,3.429,3.453,4.398,5.343,7.298,9.252,10.949,12.646
IMAGE,SSP4-60,R5.2MAF,Primary Energy|Coal,EJ/yr,5.067,6.05,7.032,7.491,7.949,8.53,9.11,10.048,10.985,12.605,14.225,16.495,18.764,20.871,22.978,24.194,25.411,26.589,27.767
IMAGE,SSP5-34,R5.2MAF,Primary Energy|Coal,EJ/yr,5.043,5.975,6.908,7.248,7.589,7.857,8.125,7.875,7.625,10.969,14.313,19.599,24.885,31.444,38.003,45.573,53.142,56.857,60.572
IMAGE,SSP5-Baseline,R5.2MAF,Primary Energy|Coal,EJ/yr,5.088,6.361,7.633,9.944,12.255,18.32,24.385,35.152,45.919,63.137,80.356,106.047,131.738,153.76,175.782,194.832,213.882,225.567,237.251
MESSAGE-GLOBIOM,SSP1-19,R5.2MAF,Primary Energy|Coal,EJ/yr,4.501,5.027,5.554,3.041,0.528,0.307,0.086,0.171,0.255,0.434,0.613,1.335,2.057,2.21,2.364,1.881,1.398,0.699,0
